year,canonical_branch,category,quota,seat_count
2025,MECHANICAL ENGG.,ST(AF),HOME STATE,0
2025,MECHANICAL ENGG.,ST(FF),HOME STATE,0
2025,MECHANICAL ENGG.,ST(PH),HOME STATE,1
2025,MECHANICAL ENGG.,EWS,HOME STATE,5
2025,MECHANICAL ENGG.,EWS(GIRL),HOME STATE,1
2025,MECHANICAL ENGG.,EWS(AF),HOME STATE,1
2025,MECHANICAL ENGG.,EWS(FF),HOME STATE,0
2025,MECHANICAL ENGG.,EWS(PH),HOME STATE,0
2025,MECHANICAL ENGG.,OPEN,TFW,3
2025,MECHANICAL ENGG.,OPEN,OTHER STATE,1
2025,MECHANICAL ENGG.,BC,OTHER STATE,1
2025,MECHANICAL ENGG.,SC,OTHER STATE,1
2025,MECHANICAL ENGG.,ST,OTHER STATE,0
2025,CIVIL ENGG.,OPEN,HOME STATE,20
2025,CIVIL ENGG.,OPEN(GIRL),HOME STATE,6
2025,CIVIL ENGG.,OPEN(AF),HOME STATE,1
2025,CIVIL ENGG.,OPEN(FF),HOME STATE,1
2025,CIVIL ENGG.,OPEN(PH),HOME STATE,2
2025,CIVIL ENGG.,BC,HOME STATE,13
2025,CIVIL ENGG.,BC(GIRL),HOME STATE,4
2025,CIVIL ENGG.,BC(AF),HOME STATE,1
2025,CIVIL ENGG.,BC(FF),HOME STATE,1
2025,CIVIL ENGG.,BC(PH),HOME STATE,1
2025,CIVIL ENGG.,SC,HOME STATE,10
2025,CIVIL ENGG.,SC(GIRL),HOME STATE,3
2025,CIVIL ENGG.,SC(AF),HOME STATE,1
2025,CIVIL ENGG.,SC(FF),HOME STATE,1
2025,CIVIL ENGG.,SC(PH),HOME STATE,1
2025,CIVIL ENGG.,ST,HOME STATE,1
2025,CIVIL ENGG.,ST(GIRL),HOME STATE,1
2025,CIVIL ENGG.,ST(AF),HOME STATE,0
2025,CIVIL ENGG.,ST(FF),HOME STATE,0
2025,CIVIL ENGG.,ST(PH),HOME STATE,0
2025,CIVIL ENGG.,EWS,HOME STATE,5
2025,CIVIL ENGG.,EWS(GIRL),HOME STATE,1
2025,CIVIL ENGG.,EWS(AF),HOME STATE,1
2025,CIVIL ENGG.,EWS(FF),HOME STATE,0
2025,CIVIL ENGG.,EWS(PH),HOME STATE,0
2025,CIVIL ENGG.,OPEN,TFW,3
2025,CIVIL ENGG.,OPEN,OTHER STATE,1
2025,CIVIL ENGG.,BC,OTHER STATE,1
2025,CIVIL ENGG.,SC,OTHER STATE,1
2025,CIVIL ENGG.,ST,OTHER STATE,0
2025,CHEMICAL ENGG.,OPEN,HOME STATE,20
2025,CHEMICAL ENGG.,OPEN(GIRL),HOME STATE,6
2025,CHEMICAL ENGG.,OPEN(AF),HOME STATE,1
2025,CHEMICAL ENGG.,OPEN(FF),HOME STATE,1
2025,CHEMICAL ENGG.,OPEN(PH),HOME STATE,2
2025,CHEMICAL ENGG.,BC,HOME STATE,14
2025,CHEMICAL ENGG.,BC(GIRL),HOME STATE,4
2025,CHEMICAL ENGG.,BC(AF),HOME STATE,1
2025,CHEMICAL ENGG.,BC(FF),HOME STATE,0
2025,CHEMICAL ENGG.,BC(PH),HOME STATE,1
2025,CHEMICAL ENGG.,SC,HOME STATE,11
2025,CHEMICAL ENGG.,SC(GIRL),HOME STATE,3
2025,CHEMICAL ENGG.,SC(AF),HOME STATE,1
2025,CHEMICAL ENGG.,SC(FF),HOME STATE,0
