year,round,branch,category,quota,opening_rank,closing_rank
2023,Round 1,CHEMICAL ENGG.,EWS,Home State,46390,48028
2023,Round 1,CHEMICAL ENGG.,EWS(PH),Home State,1020197,1020197
2023,Round 1,CHEMICAL ENGG.,OPEN(AF),Home State,59680,59680
2023,Round 1,CHEMICAL ENGG.,OPEN(FF),Home State,333170,333170
2023,Round 1,CHEMICAL ENGG.,OPEN GIRL,Home State,47798,51801
2023,Round 1,CHEMICAL ENGG.,OPEN,Home State,35807,44760
2023,Round 1,CHEMICAL ENGG.,OPEN(PH),Home State,613798,778343
2023,Round 1,CHEMICAL ENGG.,SC(AF),Home State,249014,249014
2023,Round 1,CHEMICAL ENGG.,SC(GIRL),Home State,177609,206450
2023,Round 1,CHEMICAL ENGG.,SC,Home State,117388,160923
2023,Round 1,CHEMICAL ENGG.,ST,Home State,338052,338052
2023,Round 1,CHEMICAL ENGG. (FW),OPEN (TF),Home State,45117,47410
2023,Round 1,BIO CHEMICAL ENGG.,BC,All India,75323,75323
2023,Round 1,BIO CHEMICAL ENGG.,OPEN,All India,41821,41821
2023,Round 1,BIO CHEMICAL ENGG.,SC,All India,187878,187878
2023,Round 1,BIO CHEMICAL ENGG.,BC(GIRL),Home State,76823,90275
2023,Round 1,BIO CHEMICAL ENGG.,BC,Home State,65181,81642
2023,Round 1,BIO CHEMICAL ENGG.,EWS(GIRL),Home State,71890,71890
2023,Round 1,BIO CHEMICAL ENGG.,EWS,Home State,72508,75049
2023,Round 1,BIO CHEMICAL ENGG.,OPEN(AF),Home State,66319,66319
2023,Round 1,BIO CHEMICAL ENGG.,OPEN GIRL,Home State,62098,68883
2023,Round 1,BIO CHEMICAL ENGG.,OPEN,Home State,50582,63031
2023,Round 1,BIO CHEMICAL ENGG.,SC(AF),Home State,301434,301434
2023,Round 1,BIO CHEMICAL ENGG.,SC(GIRL),Home State,215807,230440
2023,Round 1,BIO CHEMICAL ENGG.,SC,Home State,164826,195533
2023,Round 1,BIO CHEMICAL ENGG.,ST,Home State,395385,395385
2023,Round 1,BIO CHEMICAL ENGG. (FW),OPEN (TF),Home State,58488,67724
2023,Round 1,OIL TECHNOLOGY,BC,All India,61772,61772
2023,Round 1,OIL TECHNOLOGY,OPEN,All India,49192,49192
2023,Round 1,OIL TECHNOLOGY,SC,All India,164852,164852
2023,Round 1,OIL TECHNOLOGY,BC(AF),Home State,107287,107287
2023,Round 1,OIL TECHNOLOGY,BC(GIRL),Home State,89164,96862
2023,Round 1,OIL TECHNOLOGY,BC,Home State,71440,85794
2023,Round 1,OIL TECHNOLOGY,EWS(GIRL),Home State,83346,83346
2023,Round 1,OIL TECHNOLOGY,EWS,Home State,77202,81179
2023,Round 1,OIL TECHNOLOGY,OPEN(AF),Home State,76053,76775
2023,Round 1,OIL TECHNOLOGY,OPEN GIRL,Home State,62713,80577
2023,Round 1,OIL TECHNOLOGY,OPEN,Home State,45353,69747
2023,Round 1,OIL TECHNOLOGY,SC(AF),Home State,559902,559902
2023,Round 1,OIL TECHNOLOGY,SC(GIRL),Home State,247458,287895
2023,Round 1,OIL TECHNOLOGY,SC,Home State,168335,217968
2023,Round 1,OIL TECHNOLOGY,ST,Home State,412608,412608
2023,Round 1,OIL TECHNOLOGY (FW),OPEN (TF),Home State,58999,71504
2023,Round 2,INFORMATION TECHNOLOGY,BC,All India,45640,45640
2023,Round 2,INFORMATION TECHNOLOGY,OPEN,All India,22572,25571
2023,Round 2,INFORMATION TECHNOLOGY,BC(FF),Home State,190595,190595
2023,Round 2,INFORMATION TECHNOLOGY,BC(GIRL),Home State,50944,57399
2023,Round 2,INFORMATION TECHNOLOGY,BC,Home State,35923,38372
2023,Round 2,INFORMATION TECHNOLOGY,BC(PH),Home State,861246,861246
2023,Round 2,INFORMATION TECHNOLOGY,EWS(GIRL),Home State,48539,48539
2023,Round 2,INFORMATION TECHNOLOGY,EWS,Home State,31836,33584
2023,Round 2,INFORMATION TECHNOLOGY,OPEN(AF),Home State,37681,37681
2023,Round 2,INFORMATION TECHNOLOGY,OPEN(FF),Home State,92164,92164
2023,Round 2,INFORMATION TECHNOLOGY,OPEN GIRL,Home State,33260,35019
2023,Round 2,INFORMATION TECHNOLOGY,OPEN,Home State,26400,30715
2023,Round 2,INFORMATION TECHNOLOGY,OPEN(PH),Home State,320535,320535
2023,Round 2,INFORMATION TECHNOLOGY,SC(AF),Home State,263447,263447
2023,Round 2,INFORMATION TECHNOLOGY,SC(GIRL),Home State,134581,158586
2023,Round 2,INFORMATION TECHNOLOGY,SC,Home State,106995,128531
2023,Round 2,INFORMATION TECHNOLOGY,ST(GIRL),Home State,227429,227429
2023,Round 2,INFORMATION TECHNOLOGY,ST,Home State,284015,284015
2023,Round 2,INFORMATION TECHNOLOGY (FW),OPEN (TF),Home State,26753,26753
2023,Round 2,PLASTIC TECHNOLOGY,OPEN,All India,44531,61411
2023,Round 2,PLASTIC TECHNOLOGY,ST,All India,562034,562034
2023,Round 2,PAINT TECHNOLOGY,BC(GIRL),Home State,94614,96862
2023,Round 2,PAINT TECHNOLOGY,BC,Home State,81156,88264
