Sr.No,Round ▲▼,Institute ▲▼,Program ▲▼,Quota ▲▼,Category ▲▼,Opening Rank ▲▼,Closing Rank ▲▼,Round_Name
94,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,SC(AF),289889,289889,Round 1
95,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,SC(GIRL),139811,193630,Round 1
96,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,SC,126829,157784,Round 1
97,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,ST(GIRL),284015,284015,Round 1
98,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,ST,327621,327621,Round 1
99,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG. (FW),Home State,OPEN (TF),39662,51587,Round 1
100,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,All India,BC,19078,19078,Round 1
101,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,All India,OPEN,7005,8092,Round 1
102,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,BC(AF),34055,34055,Round 1
103,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,BC(FF),54922,54922,Round 1
104,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,BC(GIRL),32701,42288,Round 1
105,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,BC,21744,30127,Round 1
106,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,BC(PH),158762,158762,Round 1
107,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,EWS(GIRL),29732,29732,Round 1
108,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,EWS,20230,24166,Round 1
109,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,EWS(PH),280903,280903,Round 1
110,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,OPEN(AF),26126,26407,Round 1
111,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,OPEN GIRL,16377,23457,Round 1
112,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,OPEN,9948,19737,Round 1
113,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,OPEN(PH),88249,89587,Round 1
114,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,SC(AF),75201,75201,Round 1
115,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,SC(GIRL),83183,106539,Round 1
116,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,SC,41012,69275,Round 1
117,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,SC(PH),471526,471526,Round 1
118,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,ST,194646,194646,Round 1
119,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG. (FW),Home State,OPEN (TF),13185,18093,Round 1
120,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,All India,BC,50479,50479,Round 1
121,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,All India,OPEN,28190,28190,Round 1
122,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,All India,SC,107154,107154,Round 1
123,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,BC(AF),68389,68389,Round 1
124,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,BC(GIRL),51636,57399,Round 1
125,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,BC,39827,47047,Round 1
126,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,BC(PH),471418,471418,Round 1
127,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,EWS(AF),57502,57502,Round 1
128,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,EWS(GIRL),45632,45875,Round 1
129,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,EWS,35009,39825,Round 1
130,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,OPEN(AF),46954,46954,Round 1
131,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,OPEN(FF),94502,94502,Round 1
132,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,OPEN GIRL,35019,44460,Round 1
133,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,OPEN,26013,34971,Round 1
134,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,OPEN(PH),171703,446732,Round 1
135,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,SC(AF),153301,153301,Round 1
136,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,SC(GIRL),160284,171375,Round 1
137,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,SC,111040,135215,Round 1
138,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,ST,218061,218061,Round 1
